evenement
" Weak increase-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Average increase-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Important increase-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Weak decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Average decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
" Weak increase-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average increase-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important increase-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak decrease-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average decrease-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important decrease-retour_quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"noel, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
"jour_de_l_an, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
"halloween, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
"fete_nationale, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
"saint_valentin, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
"yennayer, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_quantity, Average increase-retour_quantity, Important increase-retour_quantity, Weak decrease-retour_quantity, Average decrease-retour_quantity, Important decrease-retour_quantity"
